Most Popular Movies,Year,Rating
Space Jam: A New Legacy,-2021,4.4
Black Widow,-2021,6.9
Old,-2021,6
Pig,-2021,7
Dune,-2021,
Gunpowder Milkshake,-2021,6
Fear Street: 1994,-2021,6.2
The Tomorrow War,-2021,6.6
Fear Street: 1978,-2021,6.8
Snake Eyes: G.I. Joe Origins,-2021,5.7
Fear Street: 1666,-2021,6.7
The Forever Purge,-2021,5.4
The Suicide Squad,-2021,8.4
A Quiet Place Part II,-2020,7.4
Space Jam,-1996,6.5
Titane,-2021,6.5
Midnight in the Switchgrass,-2021,4.3
The Last Duel,-2021,
F9,-2021,5.5
Jolt,-2021,5.5
Hitman's Wife's Bodyguard,-2021,6.2
Jackass Forever,-2021,
Luca,-2021,7.5
Wrath of Man,-2021,7.2
Cruella,-2021,7.4
Midsommar,-2019,7.1
Toofaan,-2021,4.8
Escape Room: Tournament of Champions,-2021,6.1
Blood Red Sky,-2021,6.1
Once Upon a Time... in Hollywood,-2019,7.6
The Empty Man,-2020,6.1
Stillwater,-2021,6.1
No Sudden Move,-2021,6.5
Free Guy,-2021,
Nobody,-2021,7.4
A Classic Horror Story,-2021,5.7
The Magnificent Seven,-2016,6.9
Jungle Cruise,-2021,7.1
A Quiet Place,-2018,7.5
Cosmic Sin,-2021,2.5
Dune,-1984,6.5
Twilight,-2008,5.2
Spider-Man: No Way Home,-2021,
Malignant,-2021,
After We Fell,-2021,
The Green Knight,-2021,8.1
Vacation Friends,-2021,
Chernobyl,-2021,4.9
The French Dispatch,-2021,7.4
Tenet,-2020,7.4
Avengers: Endgame,-2019,8.4
How It Ends,-2021,5.2
Zola,-2020,6.6
The Boss Baby: Family Business,-2021,5.9
Malik,-2021,8.4
Trollhunters: Rise of the Titans,-2021,7
Raya and the Last Dragon,-2021,7.4
Naked Singularity,-2021,5.3
The Hunt,-2020,6.5
In the Heights,-2021,7.5
Barb and Star Go to Vista Del Mar,-2021,6.4
Suicide Squad,-2016,5.9
365 dni,-2020,3.3
The Last Letter from Your Lover,-2021,6.8
Good Joe Bell,-2020,5.5
Infinite,-2021,5.4
Jurassic World: Dominion,-2022,
The Batman,-2022,
Zack Snyder's Justice League,-2021,8.1
Doctor Strange in the Multiverse of Madness,-2022,
The Shawshank Redemption,-1994,9.3
The Little Things,-2021,6.3
Mortal Kombat,-2021,6.1
The Godfather,-1972,9.2
Mayor Grom: Chumnoy Doktor,-2021,6.3
The Ice Road,-2021,5.6
The Conjuring: The Devil Made Me Do It,-2021,6.3
Army of the Dead,-2021,5.8
Guns Akimbo,-2019,6.3
Top Gun: Maverick,-2021,
Godzilla vs. Kong,-2021,6.4
Spiral: From the Book of Saw,-2021,5.3
Harry Potter and the Sorcerer's Stone,-2001,7.6
Promising Young Woman,-2020,7.5
Thor: Love and Thunder,-2022,
Escape Room,-2019,6.4
Ghahreman,-2021,
Love,-2015,6.1
The Lost Boys,-1987,7.3
The Matrix,-1999,8.7
Eternals,-2021,
The Dark Knight,-2008,9
Pulp Fiction,-1994,8.9
Thor: Ragnarok,-2017,7.9
Killers of the Flower Moon,"(

49)",
Demonic,-2021,
Nope,-2022,
The Hitman's Bodyguard,-2017,6.9
Fight Club,-1999,8.8
No Time to Die,-2021,
